season,date,game,brand,asset,exposure,duration,qimv,exposure_impressions,sponsorship_impressions,qi_sponsorship_impressions
2022-2023,2022-10-14 00:00:00,LA Kings,Miller Lite,Player Tunnel,81,705,59962,11253278,3264840,975274
2022-2023,2022-10-14 00:00:00,LA Kings,Miller Lite,Player Tunnel,81,705,59962,11253278,3264840,975274
2022-2023,2022-10-14 00:00:00,LA Kings,Coke,On-Court,250,823,62250,34732341,3811296,1012493
2022-2023,2022-10-14 00:00:00,LA Kings,Coke,Jersey,13,36,2950,1806082,166715,47983
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Chevrolet,TVGI,1,13,1608,128955,55881,26158
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Chevrolet,TVGI,1,13,1608,128955,55881,26158
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Fan Duel,TVGI,1,14,1589,128955,60179,25841
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Fan Duel,TVGI,1,14,1589,128955,60179,25841
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Draftkings,Stanchion,122,644,61729,15732510,2768234,1004017
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Chase,Seatbacks,7,17,947,985700,79795,15536
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Chase,Pole Pad,14,61,4342,1805370,262209,70620
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Chase,Pole Pad,14,61,4342,1805370,262209,70620
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Citizens Financial,Pole Pad,1,2,186,128955,8597,3019
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Citizens Financial,Pole Pad,1,2,186,128955,8597,3019
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Delta,Pole Pad,2,45,2451,257910,193433,39860
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Delta,Pole Pad,2,45,2451,257910,193433,39860
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Miller Lite,Pole Pad,1,18,1429,128955,77373,23235
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Miller Lite,Pole Pad,1,18,1429,128955,77373,23235
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Chase,Player Tunnel,57,761,55607,7350435,3271159,904439
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Chevy,Player Tunnel,83,313,27607,10703265,1345431,449032
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Citizens Financial,Player Tunnel,33,216,17549,4255515,928476,285432
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Coca-cola,Player Tunnel,29,257,19142,3739695,1104715,311344
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Draftkings,Player Tunnel,20,181,12704,2579100,778029,206625
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Fan Duel,Player Tunnel,27,228,16154,3481785,980058,262741
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Miller Lite,Player Tunnel,69,513,40943,8897895,2205131,665930
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Chase,Player Seatbacks,144,1050,68654,18569520,4513425,1116662
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Miller Lite,Player Seatbacks,124,517,38694,15990420,2222325,629353
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Chase,On-Court,312,1304,112675,43934053,6120727,1847771
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Citizens Financial,On-Court,243,726,63743,34217868,3407705,1045333
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Chase,LED,96,228,13486,13518170,1070188,221168
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Chevy,LED,48,110,6356,6759085,516319,104241
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Citizens Financial,LED,59,135,6721,8308042,633664,110227
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Coca-cola,LED,79,178,9290,11124328,835498,152356
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Draftkings,LED,42,107,5497,5914199,502238,90146
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Fan Duel,LED,25,55,2475,3520357,258160,40589
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Miller Lite,LED,83,210,11330,11687585,985700,185805
2022-2023,2022-10-17 00:00:00,Vegas Golden Knights,Miller,Jersey,210,544,23093,29570997,2553432,378700
2022-2023,2022-10-20 00:00:00,Dallas Stars,Chevrolet,TVGI,1,11,1059,109480,40143,17217
2022-2023,2022-10-20 00:00:00,Dallas Stars,Chevrolet,TVGI,1,11,1059,109480,40143,17217
2022-2023,2022-10-20 00:00:00,Dallas Stars,Chase,Scoreboard,1,15,544,129600,64800,8780
2022-2023,2022-10-20 00:00:00,Dallas Stars,Chase,Pole Pad,9,49,3944,985322,178818,64150
2022-2023,2022-10-20 00:00:00,Dallas Stars,Chase,Pole Pad,9,49,3944,985322,178818,64150
2022-2023,2022-10-20 00:00:00,Dallas Stars,Chevrolet,Pole Pad,1,11,1099,109480,40143,17872
2022-2023,2022-10-20 00:00:00,Dallas Stars,Chevrolet,Pole Pad,1,11,1099,109480,40143,17872
2022-2023,2022-10-20 00:00:00,Dallas Stars,Citizens Financial,Pole Pad,10,124,7845,1094803,452518,127597
2022-2023,2022-10-20 00:00:00,Dallas Stars,Citizens Financial,Pole Pad,10,124,7845,1094803,452518,127597
2022-2023,2022-10-20 00:00:00,Dallas Stars,Coca-cola,Pole Pad,1,16,1784,109480,58389,29020
2022-2023,2022-10-20 00:00:00,Dallas Stars,Coca-cola,Pole Pad,1,16,1784,109480,58389,29020
2022-2023,2022-10-20 00:00:00,Dallas Stars,Chase,Player Tunnel,58,736,45667,6349856,2685916,742770
2022-2023,2022-10-20 00:00:00,Dallas Stars,Chevy,Player Tunnel,76,258,18498,8320501,941530,300878
2022-2023,2022-10-20 00:00:00,Dallas Stars,Citizens Financial,Player Tunnel,29,253,17831,3174928,923284,290027
2022-2023,2022-10-20 00:00:00,Dallas Stars,Coca-cola,Player Tunnel,29,279,16916,3174928,1018167,275137
2022-2023,2022-10-20 00:00:00,Dallas Stars,Draftkings,Player Tunnel,142,701,55504,15546199,2558189,902774
2022-2023,2022-10-20 00:00:00,Dallas Stars,Fan Duel,Player Tunnel,31,178,11380,3393888,649583,185098
2022-2023,2022-10-20 00:00:00,Dallas Stars,Miller Lite,Player Tunnel,61,462,34846,6678297,1685996,566767
2022-2023,2022-10-20 00:00:00,Dallas Stars,Chase,Player Seatbacks,146,977,55975,15984120,3565408,910429
2022-2023,2022-10-20 00:00:00,Dallas Stars,Citizens Financial,Player Seatbacks,5,39,2081,547401,142324,33845
2022-2023,2022-10-20 00:00:00,Dallas Stars,Miller Lite,Player Seatbacks,121,484,32311,13247113,1766282,525543
2022-2023,2022-10-20 00:00:00,Dallas Stars,Chase,On-Court,335,1205,99491,43416091,5205611,1606486
2022-2023,2022-10-20 00:00:00,Dallas Stars,Citizens Financial,On-Court,264,678,56434,34214472,2928966,911244
2022-2023,2022-10-20 00:00:00,Dallas Stars,Chase,LED,95,275,16541,12312026,1188003,267089
2022-2023,2022-10-20 00:00:00,Dallas Stars,Chevy,LED,34,104,5458,4406409,449281,88129
2022-2023,2022-10-20 00:00:00,Dallas Stars,Citizens Financial,LED,47,96,4407,6091213,414721,71155
2022-2023,2022-10-20 00:00:00,Dallas Stars,Coca-cola,LED,80,151,8074,10368022,652321,130371
2022-2023,2022-10-20 00:00:00,Dallas Stars,Draftkings,LED,52,117,6674,6739214,505441,107769
2022-2023,2022-10-20 00:00:00,Dallas Stars,Fan Duel,LED,41,70,4118,5313611,302401,66488
2022-2023,2022-10-20 00:00:00,Dallas Stars,Miller Lite,LED,90,205,11142,11664025,885602,179918
2022-2023,2022-10-20 00:00:00,Dallas Stars,Miller,Jersey,249,587,24260,32270468,2535845,391733
2022-2023,2022-10-21 00:00:00,Dallas Stars,Chase,Upper Bowl LED,5,13,886,860331,74562,17237
2022-2023,2022-10-21 00:00:00,Dallas Stars,Miller,Upper Bowl LED,2,7,561,344132,40149,10910
2022-2023,2022-10-21 00:00:00,Dallas Stars,Chase,Stanchion,21,159,8406,3613390,911951,163450
2022-2023,2022-10-21 00:00:00,Dallas Stars,Citizens Financial,Stanchion,20,132,6865,3441323,757091,133489
2022-2023,2022-10-21 00:00:00,Dallas Stars,Draftkings,Stanchion,20,157,7667,3441323,900480,149088
2022-2023,2022-10-21 00:00:00,Dallas Stars,Draftkings,Stanchion,14,29,1839,2408926,166331,35763
2022-2023,2022-10-21 00:00:00,Dallas Stars,Fan Duel,Stanchion,12,50,2961,2064794,286777,57585
2022-2023,2022-10-21 00:00:00,Dallas Stars,Fan Duel,Stanchion,32,41,2298,5506118,235157,44694
2022-2023,2022-10-21 00:00:00,Dallas Stars,Miller,Stanchion,11,67,3874,1892728,384281,75337
2022-2023,2022-10-21 00:00:00,Dallas Stars,Miller Lite,Stanchion,21,133,7512,3613390,762827,146081
2022-2023,2022-10-21 00:00:00,Dallas Stars,United Air Lines,Stanchion,10,74,3697,1720662,424430,71898
2022-2023,2022-10-21 00:00:00,Dallas Stars,United Air Lines,Stanchion,10,74,3697,1720662,424430,71898
2022-2023,2022-10-21 00:00:00,Dallas Stars,Chase,Scoreboard,3,25,1763,516199,143388,34284
2022-2023,2022-10-21 00:00:00,Dallas Stars,Chase,Scoreboard,16,34,1999,2753059,195008,38867
2022-2023,2022-10-21 00:00:00,Dallas Stars,Chevy,Scoreboard,1,1,76,172066,5736,1473
2022-2023,2022-10-21 00:00:00,Dallas Stars,Citizens,Scoreboard,2,11,782,344132,63091,15205
2022-2023,2022-10-21 00:00:00,Dallas Stars,Citizens Financial,Scoreboard,1,15,834,172066,86033,16209
2022-2023,2022-10-21 00:00:00,Dallas Stars,Chase,Pole Pad,14,124,9291,1768232,522049,151122
2022-2023,2022-10-21 00:00:00,Dallas Stars,Chevrolet,Pole Pad,2,18,1994,252605,75781,32434
2022-2023,2022-10-21 00:00:00,Dallas Stars,Citizens Financial,Pole Pad,1,11,678,126302,46311,11027
2022-2023,2022-10-21 00:00:00,Dallas Stars,Fan Duel,Pole Pad,1,14,1612,126302,58941,26211
2022-2023,2022-10-21 00:00:00,Dallas Stars,Chase,Pole,21,333,23876,3613390,1909935,464274
2022-2023,2022-10-21 00:00:00,Dallas Stars,Chevy,Pole,6,29,2212,1032397,166331,43006
2022-2023,2022-10-21 00:00:00,Dallas Stars,Citizens Financial,Pole,30,199,13663,5161985,1141372,265679
2022-2023,2022-10-21 00:00:00,Dallas Stars,Draftkings,Pole,16,200,13162,2753059,1147108,255946
2022-2023,2022-10-21 00:00:00,Dallas Stars,Fan Duel,Pole,22,108,8039,3785456,619438,156328
2022-2023,2022-10-21 00:00:00,Dallas Stars,Miller,Pole,9,109,8499,1548596,625174,165262
2022-2023,2022-10-21 00:00:00,Dallas Stars,Miller Lite,Pole,19,270,19576,3269257,1548596,380664
2022-2023,2022-10-21 00:00:00,Dallas Stars,United Air Lines,Pole,17,98,7042,2925125,562083,136923
2022-2023,2022-10-21 00:00:00,Dallas Stars,Draftkings,Player Tunnel,1,1,53,172066,5736,1038
2022-2023,2022-10-21 00:00:00,Dallas Stars,Miller Lite,Jersey,317,2873,237627,54544977,16478204,4620696
2022-2023,2022-10-21 00:00:00,Dallas Stars,Miller,Endzone,27,78,6060,4645787,447372,117836
2022-2023,2022-10-23 00:00:00,Nashville Predators,Chevrolet,TVGI,1,12,784,64612,25845,12757
2022-2023,2022-10-23 00:00:00,Nashville Predators,Chevrolet,TVGI,1,12,784,64612,25845,12757
2022-2023,2022-10-23 00:00:00,Nashville Predators,Fan Duel,TVGI,1,14,795,64612,30152,12926
2022-2023,2022-10-23 00:00:00,Nashville Predators,Fan Duel,TVGI,1,14,795,64612,30152,12926
2022-2023,2022-10-23 00:00:00,Nashville Predators,Miller Lite,TVGI,2,13,869,129223,27998,14136
2022-2023,2022-10-23 00:00:00,Nashville Predators,Miller Lite,TVGI,2,13,869,129223,27998,14136
2022-2023,2022-10-23 00:00:00,Nashville Predators,Citizens Financial,Stanchion,132,160,7680,8528744,344596,124922
2022-2023,2022-10-23 00:00:00,Nashville Predators,Draftkings,Stanchion,130,570,28051,8399521,1227622,456252
2022-2023,2022-10-23 00:00:00,Nashville Predators,Miller Lite,Stanchion,16,16,610,1033787,34460,9918
2022-2023,2022-10-23 00:00:00,Nashville Predators,Chase,Pole Pad,11,57,2212,710729,122762,35984
2022-2023,2022-10-23 00:00:00,Nashville Predators,Chase,Pole Pad,11,57,2212,710729,122762,35984
2022-2023,2022-10-23 00:00:00,Nashville Predators,Delta,Pole Pad,2,31,828,129223,66765,13471
2022-2023,2022-10-23 00:00:00,Nashville Predators,Delta,Pole Pad,2,31,828,129223,66765,13471
2022-2023,2022-10-23 00:00:00,Nashville Predators,Miller Lite,Pole Pad,2,21,799,129223,45228,12988
2022-2023,2022-10-23 00:00:00,Nashville Predators,Miller Lite,Pole Pad,2,21,799,129223,45228,12988
2022-2023,2022-10-23 00:00:00,Nashville Predators,Chase,Player Tunnel,46,631,23841,2972138,1358999,387775
2022-2023,2022-10-23 00:00:00,Nashville Predators,Chevy,Player Tunnel,82,288,12547,5298159,620272,204077
2022-2023,2022-10-23 00:00:00,Nashville Predators,Citizens Financial,Player Tunnel,35,275,10943,2261410,592274,177992
2022-2023,2022-10-23 00:00:00,Nashville Predators,Coca-cola,Player Tunnel,35,319,12192,2261410,687038,198302
2022-2023,2022-10-23 00:00:00,Nashville Predators,Draftkings,Player Tunnel,21,154,5929,1356846,331673,96442
2022-2023,2022-10-23 00:00:00,Nashville Predators,Fan Duel,Player Tunnel,30,188,7699,1938351,404900,125217
2022-2023,2022-10-23 00:00:00,Nashville Predators,Miller Lite,Player Tunnel,50,318,13410,3230585,684884,218109
2022-2023,2022-10-23 00:00:00,Nashville Predators,Chase,Player Seatbacks,163,732,27737,10531707,1576525,451147
2022-2023,2022-10-23 00:00:00,Nashville Predators,Miller Lite,Player Seatbacks,136,518,19204,8787191,1115629,312358
2022-2023,2022-10-23 00:00:00,Nashville Predators,Chase,On-Court,302,1119,51030,23844292,2945007,923949
2022-2023,2022-10-23 00:00:00,Nashville Predators,Citizens Financial,On-Court,234,483,22195,18475379,1271169,401867
2022-2023,2022-10-23 00:00:00,Nashville Predators,Chase,Lower Bowl LED,2,3,116,129223,6461,1894
2022-2023,2022-10-23 00:00:00,Nashville Predators,Chase,Lower Bowl LED,2,3,116,129223,6461,1894
2022-2023,2022-10-23 00:00:00,Nashville Predators,Chase,LED,79,193,6258,6237414,507941,113304
2022-2023,2022-10-23 00:00:00,Nashville Predators,Chevy,LED,29,59,1963,2289684,155277,35535
2022-2023,2022-10-23 00:00:00,Nashville Predators,Citizens Financial,LED,22,41,1028,1737001,107905,18613
2022-2023,2022-10-23 00:00:00,Nashville Predators,Coca-cola,LED,76,213,5773,6000550,560578,104516
2022-2023,2022-10-23 00:00:00,Nashville Predators,Draftkings,LED,34,87,2812,2684457,228968,50905
2022-2023,2022-10-23 00:00:00,Nashville Predators,Fan Duel,LED,22,43,1230,1737001,113168,22276
2022-2023,2022-10-23 00:00:00,Nashville Predators,Miller Lite,LED,101,307,9012,7974416,807969,163168
2022-2023,2022-10-23 00:00:00,Nashville Predators,Miller,Jersey,261,732,16241,20607153,1926492,294049
2022-2023,2022-10-23 00:00:00,Nashville Predators,Draftkings,Endzone,2,4,111,157909,10527,2017
2022-2023,2022-10-24 00:00:00,LA Kings,Chase,Upper Bowl LED,1,1,103,354692,11823,3423
2022-2023,2022-10-24 00:00:00,LA Kings,Fan Duel,Upper Bowl LED,1,5,605,354692,59115,20158
2022-2023,2022-10-24 00:00:00,LA Kings,Miller Lite,Upper Bowl LED,1,6,664,354692,70938,22119
2022-2023,2022-10-24 00:00:00,LA Kings,Chase,Stanchion,26,192,11878,9221987,2270028,395900
2022-2023,2022-10-24 00:00:00,LA Kings,Citizens Financial,Stanchion,25,147,10015,8867295,1737990,333797
2022-2023,2022-10-24 00:00:00,LA Kings,Draftkings,Stanchion,21,148,8976,7448528,1749813,299158
2022-2023,2022-10-24 00:00:00,LA Kings,Draftkings,Stanchion,50,99,6223,17734590,1170483,207400
2022-2023,2022-10-24 00:00:00,LA Kings,Fan Duel,Stanchion,56,99,5323,19862741,1170483,177424
2022-2023,2022-10-24 00:00:00,LA Kings,Fan Duel,Stanchion,5,25,1916,1773459,295577,63874
2022-2023,2022-10-24 00:00:00,LA Kings,Miller,Stanchion,17,129,8181,6029761,1525175,272657
2022-2023,2022-10-24 00:00:00,LA Kings,Miller Lite,Stanchion,15,110,6998,5320377,1300537,233226
2022-2023,2022-10-24 00:00:00,LA Kings,United Air Lines,Stanchion,8,59,3692,2837534,697561,123050
2022-2023,2022-10-24 00:00:00,LA Kings,Chase,Scoreboard,16,105,7857,5675069,1241421,261880
2022-2023,2022-10-24 00:00:00,LA Kings,Chase,Scoreboard,18,60,3995,6384452,709384,133136
2022-2023,2022-10-24 00:00:00,LA Kings,Chevy,Scoreboard,1,3,312,354692,35469,10403
2022-2023,2022-10-24 00:00:00,LA Kings,Miller Lite,Scoreboard,1,5,537,354692,59115,17894
2022-2023,2022-10-24 00:00:00,LA Kings,Chase,Pole Pad,11,107,8595,3713722,1204146,288257
2022-2023,2022-10-24 00:00:00,LA Kings,Chevrolet,Pole Pad,2,19,3093,675222,213820,103743
2022-2023,2022-10-24 00:00:00,LA Kings,Citizens Financial,Pole Pad,1,10,1359,337611,112537,45589
2022-2023,2022-10-24 00:00:00,LA Kings,Fan Duel,Pole Pad,1,14,2062,337611,157552,69150
2022-2023,2022-10-24 00:00:00,LA Kings,Miller Lite,Pole Pad,1,15,2265,337611,168806,75979
2022-2023,2022-10-24 00:00:00,LA Kings,Chase,Pole,19,273,23896,6739144,3227695,796450
2022-2023,2022-10-24 00:00:00,LA Kings,Chevy,Pole,4,56,5219,1418767,662091,173931
2022-2023,2022-10-24 00:00:00,LA Kings,Citizens Financial,Pole,22,247,21267,7803220,2920296,708807
2022-2023,2022-10-24 00:00:00,LA Kings,Draftkings,Pole,19,219,18085,6739144,2589250,602764
2022-2023,2022-10-24 00:00:00,LA Kings,Fan Duel,Pole,11,118,10064,3901610,1395121,335432
2022-2023,2022-10-24 00:00:00,LA Kings,Miller,Pole,12,162,14165,4256302,1915336,472116
2022-2023,2022-10-24 00:00:00,LA Kings,Miller Lite,Pole,19,257,23283,6739144,3038526,775994
2022-2023,2022-10-24 00:00:00,LA Kings,United Air Lines,Pole,12,51,4892,4256302,602976,163045
2022-2023,2022-10-24 00:00:00,LA Kings,Draftkings,Player Tunnel,2,4,265,709384,47292,8825
2022-2023,2022-10-24 00:00:00,LA Kings,Miller Lite,Jersey,296,2875,277170,104988773,33991298,9237869
2022-2023,2022-10-24 00:00:00,LA Kings,Chase,Exit Tunnel,1,24,2945,354692,283753,98150
2022-2023,2022-10-24 00:00:00,LA Kings,Chase,Endzone,1,1,48,354692,11823,1589
